Model Name: acacia_button | Name: Acacia Button | Opaque: No
Model Name: granite | Name: Granite | Opaque: Yes
Model Name: granite_slab | Name: Granite Slab | Opaque: Yes
Model Name: granite_stairs | Name: Granite Stairs | Opaque: Yes
Model Name: granite_wall | Name: Granite Wall | Opaque: Yes
Model Name: grass | Name: Grass | Opaque: Yes
Model Name: grass_block | Name: Grass Block | Opaque: Yes
Model Name: gravel | Name: Gravel | Opaque: Yes
Model Name: gray_banner | Name: Gray Banner | Opaque: No
Model Name: gray_bed | Name: Gray Bed | Opaque: No
Model Name: gray_candle | Name: Gray Candle | Opaque: No
Model Name: gray_candle_cake | Name: Cake with Gray Candle | Opaque: Yes
Model Name: gray_carpet | Name: Gray Carpet | Opaque: Yes
Model Name: gray_concrete | Name: Gray Concrete | Opaque: Yes
Model Name: gray_concrete_powder | Name: Gray Concrete Powder | Opaque: Yes
Model Name: gray_glazed_terracotta | Name: Gray Glazed Terracotta | Opaque: Yes
Model Name: gray_shulker_box | Name: Gray Shulker Box | Opaque: No
Model Name: gray_stained_glass | Name: Gray Stained Glass | Opaque: No
Model Name: gray_stained_glass_pane | Name: Gray Stained Glass Pane | Opaque: No
Model Name: gray_terracotta | Name: Gray Terracotta | Opaque: Yes
Model Name: gray_wool | Name: Gray Wool | Opaque: Yes
Model Name: green_banner | Name: Green Banner | Opaque: No
Model Name: green_bed | Name: Green Bed | Opaque: No
Model Name: green_candle | Name: Green Candle | Opaque: No
Model Name: green_candle_cake | Name: Cake with Green Candle | Opaque: Yes
Model Name: green_carpet | Name: Green Carpet | Opaque: Yes
Model Name: green_concrete | Name: Green Concrete | Opaque: Yes
Model Name: green_concrete_powder | Name: Green Concrete Powder | Opaque: Yes
Model Name: green_glazed_terracotta | Name: Green Glazed Terracotta | Opaque: Yes
Model Name: green_shulker_box | Name: Green Shulker Box | Opaque: No
Model Name: green_stained_glass | Name: Green Stained Glass | Opaque: No
Model Name: green_stained_glass_pane | Name: Green Stained Glass Pane | Opaque: No
Model Name: green_terracotta | Name: Green Terracotta | Opaque: Yes
Model Name: green_wool | Name: Green Wool | Opaque: Yes
Model Name: grindstone | Name: Grindstone | Opaque: Yes
Model Name: hanging_roots | Name: Hanging Roots | Opaque: No
Model Name: hay_block | Name: Hay Bale | Opaque: Yes
Model Name: heavy_core | Name: Heavy Core | Opaque: Yes
Model Name: heavy_weighted_pressure_plate | Name: Heavy Weighted Pressure Plate | Opaque: No
Model Name: honey_block | Name: Honey Block | Opaque: No
Model Name: honeycomb_block | Name: Honeycomb Block | Opaque: Yes
Model Name: hopper | Name: Hopper | Opaque: No
Model Name: horn_coral | Name: Horn Coral | Opaque: No
Model Name: horn_coral_block | Name: Horn Coral Block | Opaque: Yes
Model Name: horn_coral_fan | Name: Horn Coral Fan | Opaque: No
Model Name: horn_coral_wall_fan | Name: Horn Coral Wall Fan | Opaque: No
Model Name: ice | Name: Ice | Opaque: No
Model Name: infested_chiseled_stone_bricks | Name: Infested Chiseled Stone Bricks | Opaque: Yes
Model Name: infested_cobblestone | Name: Infested Cobblestone | Opaque: Yes
Model Name: infested_cracked_stone_bricks | Name: Infested Cracked Stone Bricks | Opaque: Yes
Model Name: infested_deepslate | Name: Infested Deepslate | Opaque: Yes
Model Name: infested_mossy_stone_bricks | Name: Infested Mossy Stone Bricks | Opaque: Yes
Model Name: infested_stone | Name: Infested Stone | Opaque: Yes
Model Name: infested_stone_bricks | Name: Infested Stone Bricks | Opaque: Yes
Model Name: iron_bars | Name: Iron Bars | Opaque: No
Model Name: iron_block | Name: Block of Iron | Opaque: Yes
Model Name: iron_chain | Name: Iron Chain | Opaque: No
Model Name: iron_door | Name: Iron Door | Opaque: No
Model Name: iron_ore | Name: Iron Ore | Opaque: Yes
Model Name: iron_trapdoor | Name: Iron Trapdoor | Opaque: No
Model Name: jack_o_lantern | Name: Jack o'Lantern | Opaque: Yes
Model Name: jigsaw | Name: Jigsaw Block | Opaque: Yes
Model Name: jukebox | Name: Jukebox | Opaque: Yes
Model Name: jungle_button | Name: Jungle Button | Opaque: No
Model Name: jungle_door | Name: Jungle Door | Opaque: No
Model Name: jungle_fence | Name: Jungle Fence | Opaque: Yes
Model Name: jungle_fence_gate | Name: Jungle Fence Gate | Opaque: Yes
Model Name: jungle_hanging_sign | Name: Jungle Hanging Sign | Opaque: No
Model Name: jungle_leaves | Name: Jungle Leaves | Opaque: No
Model Name: jungle_log | Name: Jungle Log | Opaque: Yes
Model Name: jungle_planks | Name: Jungle Planks | Opaque: Yes
Model Name: jungle_pressure_plate | Name: Jungle Pressure Plate | Opaque: No
Model Name: jungle_sapling | Name: Jungle Sapling | Opaque: No
Model Name: jungle_shelf | Name: Jungle Shelf | Opaque: Yes
Model Name: jungle_sign | Name: Jungle Sign | Opaque: No
Model Name: jungle_slab | Name: Jungle Slab | Opaque: Yes
Model Name: jungle_stairs | Name: Jungle Stairs | Opaque: Yes
Model Name: jungle_trapdoor | Name: Jungle Trapdoor | Opaque: No
Model Name: jungle_wall_hanging_sign | Name: Jungle Wall Hanging Sign | Opaque: No
Model Name: jungle_wall_sign | Name: Jungle Wall Sign | Opaque: No
Model Name: jungle_wood | Name: Jungle Wood | Opaque: Yes
Model Name: kelp | Name: Kelp | Opaque: No
Model Name: kelp_plant | Name: Kelp Plant | Opaque: No
Model Name: ladder | Name: Ladder | Opaque: No
Model Name: lantern | Name: Lantern | Opaque: No
Model Name: lapis_block | Name: Block of Lapis Lazuli | Opaque: Yes
Model Name: lapis_ore | Name: Lapis Lazuli Ore | Opaque: Yes
Model Name: large_amethyst_bud | Name: Large Amethyst Bud | Opaque: No
Model Name: large_fern | Name: Large Fern | Opaque: No
Model Name: lava | Name: Lava | Opaque: No
Model Name: lava_cauldron | Name: Lava Cauldron | Opaque: No
Model Name: leaf_litter | Name: Leaf Litter | Opaque: No
Model Name: lectern | Name: Lectern | Opaque: Yes
Model Name: lever | Name: Lever | Opaque: No
Model Name: light | Name: Light | Opaque: No
Model Name: light_blue_banner | Name: Light Blue Banner | Opaque: No
Model Name: light_blue_bed | Name: Light Blue Bed | Opaque: No
Model Name: light_blue_candle | Name: Light Blue Candle | Opaque: No
Model Name: light_blue_candle_cake | Name: Cake with Light Blue Candle | Opaque: Yes
Model Name: light_blue_carpet | Name: Light Blue Carpet | Opaque: Yes
Model Name: light_blue_concrete | Name: Light Blue Concrete | Opaque: Yes
Model Name: light_blue_concrete_powder | Name: Light Blue Concrete Powder | Opaque: Yes
Model Name: light_blue_glazed_terracotta | Name: Light Blue Glazed Terracotta | Opaque: Yes
Model Name: light_blue_shulker_box | Name: Light Blue Shulker Box | Opaque: No
Model Name: light_blue_stained_glass | Name: Light Blue Stained Glass | Opaque: No
Model Name: light_blue_stained_glass_pane | Name: Light Blue Stained Glass Pane | Opaque: No
Model Name: light_blue_terracotta | Name: Light Blue Terracotta | Opaque: Yes
Model Name: light_blue_wool | Name: Light Blue Wool | Opaque: Yes
Model Name: light_gray_banner | Name: Light Gray Banner | Opaque: No
Model Name: light_gray_bed | Name: Light Gray Bed | Opaque: No
Model Name: light_gray_candle | Name: Light Gray Candle | Opaque: No
Model Name: light_gray_candle_cake | Name: Cake with Light Gray Candle | Opaque: Yes
Model Name: light_gray_carpet | Name: Light Gray Carpet | Opaque: Yes
Model Name: light_gray_concrete | Name: Light Gray Concrete | Opaque: Yes
Model Name: light_gray_concrete_powder | Name: Light Gray Concrete Powder | Opaque: Yes
Model Name: light_gray_glazed_terracotta | Name: Light Gray Glazed Terracotta | Opaque: Yes
Model Name: light_gray_shulker_box | Name: Light Gray Shulker Box | Opaque: No
Model Name: light_gray_stained_glass | Name: Light Gray Stained Glass | Opaque: No
Model Name: light_gray_stained_glass_pane | Name: Light Gray Stained Glass Pane | Opaque: No
Model Name: light_gray_terracotta | Name: Light Gray Terracotta | Opaque: Yes
Model Name: light_gray_wool | Name: Light Gray Wool | Opaque: Yes
Model Name: light_weighted_pressure_plate | Name: Light Weighted Pressure Plate | Opaque: No
Model Name: lightning_rod | Name: Lightning Rod | Opaque: No
Model Name: lilac | Name: Lilac | Opaque: No
Model Name: lily_of_the_valley | Name: Lily of the Valley | Opaque: No
Model Name: lily_pad | Name: Lily Pad | Opaque: No
Model Name: lime_banner | Name: Lime Banner | Opaque: No
Model Name: lime_bed | Name: Lime Bed | Opaque: No
Model Name: lime_candle | Name: Lime Candle | Opaque: No
Model Name: lime_candle_cake | Name: Cake with Lime Candle | Opaque: Yes
Model Name: lime_carpet | Name: Lime Carpet | Opaque: Yes
Model Name: lime_concrete | Name: Lime Concrete | Opaque: Yes
Model Name: lime_concrete_powder | Name: Lime Concrete Powder | Opaque: Yes
Model Name: lime_glazed_terracotta | Name: Lime Glazed Terracotta | Opaque: Yes
Model Name: lime_shulker_box | Name: Lime Shulker Box | Opaque: No
Model Name: lime_stained_glass | Name: Lime Stained Glass | Opaque: No
Model Name: lime_stained_glass_pane | Name: Lime Stained Glass Pane | Opaque: No
Model Name: lime_terracotta | Name: Lime Terracotta | Opaque: Yes
Model Name: lime_wool | Name: Lime Wool | Opaque: Yes
Model Name: lodestone | Name: Lodestone | Opaque: Yes
Model Name: loom | Name: Loom | Opaque: Yes
Model Name: magenta_banner | Name: Magenta Banner | Opaque: No
Model Name: magenta_bed | Name: Magenta Bed | Opaque: No
Model Name: magenta_candle | Name: Magenta Candle | Opaque: No
Model Name: magenta_candle_cake | Name: Cake with Magenta Candle | Opaque: Yes
Model Name: magenta_carpet | Name: Magenta Carpet | Opaque: Yes
Model Name: magenta_concrete | Name: Magenta Concrete | Opaque: Yes
Model Name: magenta_concrete_powder | Name: Magenta Concrete Powder | Opaque: Yes
Model Name: magenta_glazed_terracotta | Name: Magenta Glazed Terracotta | Opaque: Yes
Model Name: magenta_shulker_box | Name: Magenta Shulker Box | Opaque: No
Model Name: magenta_stained_glass | Name: Magenta Stained Glass | Opaque: No
Model Name: magenta_stained_glass_pane | Name: Magenta Stained Glass Pane | Opaque: No
Model Name: magenta_terracotta | Name: Magenta Terracotta | Opaque: Yes
Model Name: magenta_wool | Name: Magenta Wool | Opaque: Yes
Model Name: magma_block | Name: Magma Block | Opaque: Yes
Model Name: mangrove_button | Name: Mangrove Button | Opaque: No
Model Name: mangrove_door | Name: Mangrove Door | Opaque: No
Model Name: mangrove_fence | Name: Mangrove Fence | Opaque: Yes
Model Name: mangrove_fence_gate | Name: Mangrove Fence Gate | Opaque: Yes
Model Name: mangrove_hanging_sign | Name: Mangrove Hanging Sign | Opaque: No
Model Name: mangrove_leaves | Name: Mangrove Leaves | Opaque: No
Model Name: mangrove_log | Name: Mangrove Log | Opaque: Yes
Model Name: mangrove_planks | Name: Mangrove Planks | Opaque: Yes
Model Name: mangrove_pressure_plate | Name: Mangrove Pressure Plate | Opaque: No
Model Name: mangrove_propagule | Name: Mangrove Propagule | Opaque: No
Model Name: mangrove_roots | Name: Mangrove Roots | Opaque: No
Model Name: mangrove_shelf | Name: Mangrove Shelf | Opaque: Yes
Model Name: mangrove_sign | Name: Mangrove Sign | Opaque: No
Model Name: mangrove_slab | Name: Mangrove Slab | Opaque: Yes
Model Name: mangrove_stairs | Name: Mangrove Stairs | Opaque: Yes
Model Name: mangrove_trapdoor | Name: Mangrove Trapdoor | Opaque: No
Model Name: mangrove_wall_hanging_sign | Name: Mangrove Wall Hanging Sign | Opaque: No
Model Name: mangrove_wall_sign | Name: Mangrove Wall Sign | Opaque: No
Model Name: mangrove_wood | Name: Mangrove Wood | Opaque: Yes
Model Name: medium_amethyst_bud | Name: Medium Amethyst Bud | Opaque: No
Model Name: melon | Name: Melon | Opaque: Yes
Model Name: melon_stem | Name: Melon Stem | Opaque: Yes
Model Name: moss_block | Name: Moss Block | Opaque: Yes
Model Name: moss_carpet | Name: Moss Carpet | Opaque: Yes
Model Name: mossy_cobblestone | Name: Mossy Cobblestone | Opaque: Yes
Model Name: mossy_cobblestone_slab | Name: Mossy Cobblestone Slab | Opaque: Yes
Model Name: mossy_cobblestone_stairs | Name: Mossy Cobblestone Stairs | Opaque: Yes
Model Name: mossy_cobblestone_wall | Name: Mossy Cobblestone Wall | Opaque: Yes
Model Name: mossy_stone_brick_slab | Name: Mossy Stone Brick Slab | Opaque: Yes
Model Name: mossy_stone_brick_stairs | Name: Mossy Stone Brick Stairs | Opaque: Yes
Model Name: mossy_stone_brick_wall | Name: Mossy Stone Brick Wall | Opaque: Yes
Model Name: mossy_stone_bricks | Name: Mossy Stone Bricks | Opaque: Yes
Model Name: moving_piston | Name: Moving Piston | Opaque: No
Model Name: mud | Name: Mud | Opaque: Yes
Model Name: mud_brick_slab | Name: Mud Brick Slab | Opaque: Yes
Model Name: mud_brick_stairs | Name: Mud Brick Stairs | Opaque: Yes
Model Name: mud_brick_wall | Name: Mud Brick Wall | Opaque: Yes
Model Name: mud_bricks | Name: Mud Bricks | Opaque: Yes
Model Name: muddy_mangrove_roots | Name: Muddy Mangrove Roots | Opaque: Yes
Model Name: mushroom_stem | Name: Mushroom Stem | Opaque: Yes
Model Name: mycelium | Name: Mycelium | Opaque: Yes
Model Name: nether_brick_fence | Name: Nether Brick Fence | Opaque: Yes
Model Name: nether_brick_slab | Name: Nether Brick Slab | Opaque: Yes
Model Name: nether_brick_stairs | Name: Nether Brick Stairs | Opaque: Yes
Model Name: nether_brick_wall | Name: Nether Brick Wall | Opaque: Yes
Model Name: nether_bricks | Name: Nether Bricks | Opaque: Yes
Model Name: nether_gold_ore | Name: Nether Gold Ore | Opaque: Yes
Model Name: nether_portal | Name: Nether Portal | Opaque: No
Model Name: nether_quartz_ore | Name: Nether Quartz Ore | Opaque: Yes
Model Name: nether_sprouts | Name: Nether Sprouts | Opaque: No
Model Name: nether_wart | Name: Nether Wart | Opaque: No
Model Name: nether_wart_block | Name: Nether Wart Block | Opaque: Yes
Model Name: netherite_block | Name: Block of Netherite | Opaque: Yes
Model Name: netherrack | Name: Netherrack | Opaque: Yes
Model Name: note_block | Name: Note Block | Opaque: Yes
Model Name: oak_button | Name: Oak Button | Opaque: No
Model Name: oak_door | Name: Oak Door | Opaque: No
Model Name: oak_fence | Name: Oak Fence | Opaque: Yes
Model Name: oak_fence_gate | Name: Oak Fence Gate | Opaque: Yes
Model Name: oak_hanging_sign | Name: Oak Hanging Sign | Opaque: No
Model Name: oak_leaves | Name: Oak Leaves | Opaque: No
Model Name: oak_log | Name: Oak Log | Opaque: Yes
Model Name: oak_planks | Name: Oak Planks | Opaque: Yes
Model Name: oak_pressure_plate | Name: Oak Pressure Plate | Opaque: No
Model Name: oak_sapling | Name: Oak Sapling | Opaque: No
Model Name: oak_shelf | Name: Oak Shelf | Opaque: Yes
Model Name: oak_sign | Name: Oak Sign | Opaque: No
Model Name: oak_slab | Name: Oak Slab | Opaque: Yes
Model Name: oak_stairs | Name: Oak Stairs | Opaque: Yes
Model Name: oak_trapdoor | Name: Oak Trapdoor | Opaque: No
Model Name: oak_wall_hanging_sign | Name: Oak Wall Hanging Sign | Opaque: No
Model Name: oak_wall_sign | Name: Oak Wall Sign | Opaque: No
Model Name: oak_wood | Name: Oak Wood | Opaque: Yes
Model Name: observer | Name: Observer | Opaque: Yes
Model Name: obsidian | Name: Obsidian | Opaque: Yes
Model Name: ochre_froglight | Name: Ochre Froglight | Opaque: Yes
Model Name: ominous_banner | Name: Ominous Banner | Opaque: Yes
Model Name: open_eyeblossom | Name: Open Eyeblossom | Opaque: No
Model Name: orange_banner | Name: Orange Banner | Opaque: No
Model Name: orange_bed | Name: Orange Bed | Opaque: No
Model Name: orange_candle | Name: Orange Candle | Opaque: No
Model Name: orange_candle_cake | Name: Cake with Orange Candle | Opaque: Yes
Model Name: orange_carpet | Name: Orange Carpet | Opaque: Yes
Model Name: orange_concrete | Name: Orange Concrete | Opaque: Yes
Model Name: orange_concrete_powder | Name: Orange Concrete Powder | Opaque: Yes
Model Name: orange_glazed_terracotta | Name: Orange Glazed Terracotta | Opaque: Yes
Model Name: orange_shulker_box | Name: Orange Shulker Box | Opaque: No
Model Name: orange_stained_glass | Name: Orange Stained Glass | Opaque: No
Model Name: orange_stained_glass_pane | Name: Orange Stained Glass Pane | Opaque: No
Model Name: orange_terracotta | Name: Orange Terracotta | Opaque: Yes
Model Name: orange_tulip | Name: Orange Tulip | Opaque: No
Model Name: orange_wool | Name: Orange Wool | Opaque: Yes
Model Name: oxeye_daisy | Name: Oxeye Daisy | Opaque: No
Model Name: oxidized_chiseled_copper | Name: Oxidized Chiseled Copper | Opaque: Yes
Model Name: oxidized_copper | Name: Oxidized Copper | Opaque: Yes
Model Name: oxidized_copper_bars | Name: Oxidized Copper Bars | Opaque: Yes
Model Name: oxidized_copper_bulb | Name: Oxidized Copper Bulb | Opaque: Yes
Model Name: oxidized_copper_chain | Name: Oxidized Copper Chain | Opaque: Yes
Model Name: oxidized_copper_chest | Name: Oxidized Copper Chest | Opaque: Yes
Model Name: oxidized_copper_door | Name: Oxidized Copper Door | Opaque: No
Model Name: oxidized_copper_golem_statue | Name: Oxidized Copper Golem Statue | Opaque: No
Model Name: oxidized_copper_grate | Name: Oxidized Copper Grate | Opaque: No
Model Name: oxidized_copper_lantern | Name: Oxidized Copper Lantern | Opaque: Yes
Model Name: oxidized_copper_trapdoor | Name: Oxidized Copper Trapdoor | Opaque: No
Model Name: oxidized_cut_copper | Name: Oxidized Cut Copper | Opaque: Yes
Model Name: oxidized_cut_copper_slab | Name: Oxidized Cut Copper Slab | Opaque: Yes
Model Name: oxidized_cut_copper_stairs | Name: Oxidized Cut Copper Stairs | Opaque: Yes
Model Name: oxidized_lightning_rod | Name: Oxidized Lightning Rod | Opaque: No
Model Name: packed_ice | Name: Packed Ice | Opaque: Yes
Model Name: packed_mud | Name: Packed Mud | Opaque: Yes
Model Name: pale_hanging_moss | Name: Pale Hanging Moss | Opaque: No
Model Name: pale_moss_block | Name: Pale Moss Block | Opaque: Yes
Model Name: pale_moss_carpet | Name: Pale Moss Carpet | Opaque: No
Model Name: pale_oak_button | Name: Pale Oak Button | Opaque: No
Model Name: pale_oak_door | Name: Pale Oak Door | Opaque: No
Model Name: pale_oak_fence | Name: Pale Oak Fence | Opaque: Yes
Model Name: pale_oak_fence_gate | Name: Pale Oak Fence Gate | Opaque: Yes
Model Name: pale_oak_hanging_sign | Name: Pale Oak Hanging Sign | Opaque: No
Model Name: pale_oak_leaves | Name: Pale Oak Leaves | Opaque: No
Model Name: pale_oak_log | Name: Pale Oak Log | Opaque: Yes
Model Name: pale_oak_planks | Name: Pale Oak Planks | Opaque: Yes
Model Name: pale_oak_pressure_plate | Name: Pale Oak Pressure Plate | Opaque: No
Model Name: pale_oak_sapling | Name: Pale Oak Sapling | Opaque: No
Model Name: pale_oak_shelf | Name: Pale Oak Shelf | Opaque: Yes
Model Name: pale_oak_sign | Name: Pale Oak Sign | Opaque: No
Model Name: pale_oak_slab | Name: Pale Oak Slab | Opaque: Yes
Model Name: pale_oak_stairs | Name: Pale Oak Stairs | Opaque: Yes
Model Name: pale_oak_trapdoor | Name: Pale Oak Trapdoor | Opaque: No
Model Name: pale_oak_wall_hanging_sign | Name: Pale Oak Wall Hanging Sign | Opaque: No
Model Name: pale_oak_wall_sign | Name: Pale Oak Wall Sign | Opaque: No
Model Name: pale_oak_wood | Name: Pale Oak Wood | Opaque: Yes
Model Name: pearlescent_froglight | Name: Pearlescent Froglight | Opaque: Yes
Model Name: peony | Name: Peony | Opaque: No
Model Name: petrified_oak_slab | Name: Petrified Oak Slab | Opaque: Yes
Model Name: piglin_head | Name: Piglin Head | Opaque: No
Model Name: piglin_wall_head | Name: Piglin Wall Head | Opaque: Yes
Model Name: pink_banner | Name: Pink Banner | Opaque: No
Model Name: pink_bed | Name: Pink Bed | Opaque: No
Model Name: pink_candle | Name: Pink Candle | Opaque: No
Model Name: pink_candle_cake | Name: Cake with Pink Candle | Opaque: Yes
Model Name: pink_carpet | Name: Pink Carpet | Opaque: Yes
Model Name: pink_concrete | Name: Pink Concrete | Opaque: Yes
Model Name: pink_concrete_powder | Name: Pink Concrete Powder | Opaque: Yes
Model Name: pink_glazed_terracotta | Name: Pink Glazed Terracotta | Opaque: Yes
Model Name: pink_petals | Name: Pink Petals | Opaque: No
Model Name: pink_shulker_box | Name: Pink Shulker Box | Opaque: No
Model Name: pink_stained_glass | Name: Pink Stained Glass | Opaque: No
Model Name: pink_stained_glass_pane | Name: Pink Stained Glass Pane | Opaque: No
Model Name: pink_terracotta | Name: Pink Terracotta | Opaque: Yes
Model Name: pink_tulip | Name: Pink Tulip | Opaque: No
Model Name: pink_wool | Name: Pink Wool | Opaque: Yes
Model Name: piston | Name: Piston | Opaque: Yes
Model Name: piston_head | Name: Piston Head | Opaque: Yes
Model Name: pitcher_crop | Name: Pitcher Crop | Opaque: No
Model Name: pitcher_plant | Name: Pitcher Plant | Opaque: No
Model Name: player_head | Name: Player Head | Opaque: No
Model Name: player_wall_head | Name: Player Wall Head | Opaque: Yes
Model Name: podzol | Name: Podzol | Opaque: Yes
Model Name: pointed_dripstone | Name: Pointed Dripstone | Opaque: No
Model Name: polished_andesite | Name: Polished Andesite | Opaque: Yes
Model Name: polished_andesite_slab | Name: Polished Andesite Slab | Opaque: Yes
Model Name: polished_andesite_stairs | Name: Polished Andesite Stairs | Opaque: Yes
Model Name: polished_basalt | Name: Polished Basalt | Opaque: Yes
Model Name: polished_blackstone | Name: Polished Blackstone | Opaque: Yes
Model Name: polished_blackstone_brick_slab | Name: Polished Blackstone Brick Slab | Opaque: Yes
Model Name: polished_blackstone_brick_stairs | Name: Polished Blackstone Brick Stairs | Opaque: Yes
Model Name: polished_blackstone_brick_wall | Name: Polished Blackstone Brick Wall | Opaque: Yes
Model Name: polished_blackstone_bricks | Name: Polished Blackstone Bricks | Opaque: Yes
Model Name: polished_blackstone_button | Name: Polished Blackstone Button | Opaque: No
Model Name: polished_blackstone_pressure_plate | Name: Polished Blackstone Pressure Plate | Opaque: No
Model Name: polished_blackstone_slab | Name: Polished Blackstone Slab | Opaque: Yes
Model Name: polished_blackstone_stairs | Name: Polished Blackstone Stairs | Opaque: Yes
Model Name: polished_blackstone_wall | Name: Polished Blackstone Wall | Opaque: Yes
Model Name: polished_deepslate | Name: Polished Deepslate | Opaque: Yes
Model Name: polished_deepslate_slab | Name: Polished Deepslate Slab | Opaque: Yes
Model Name: polished_deepslate_stairs | Name: Polished Deepslate Stairs | Opaque: Yes
Model Name: polished_deepslate_wall | Name: Polished Deepslate Wall | Opaque: Yes
Model Name: polished_diorite | Name: Polished Diorite | Opaque: Yes
Model Name: polished_diorite_slab | Name: Polished Diorite Slab | Opaque: Yes
Model Name: polished_diorite_stairs | Name: Polished Diorite Stairs | Opaque: Yes
Model Name: polished_granite | Name: Polished Granite | Opaque: Yes
Model Name: polished_granite_slab | Name: Polished Granite Slab | Opaque: Yes
Model Name: polished_granite_stairs | Name: Polished Granite Stairs | Opaque: Yes
Model Name: polished_tuff | Name: Polished Tuff | Opaque: Yes
Model Name: polished_tuff_slab | Name: Polished Tuff Slab | Opaque: Yes
Model Name: polished_tuff_stairs | Name: Polished Tuff Stairs | Opaque: Yes
Model Name: polished_tuff_wall | Name: Polished Tuff Wall | Opaque: Yes
Model Name: poppy | Name: Poppy | Opaque: No
Model Name: potatoes | Name: Potatoes | Opaque: No
Model Name: potted_acacia_sapling | Name: Potted Acacia Sapling | Opaque: No
Model Name: potted_allium | Name: Potted Allium | Opaque: No
Model Name: potted_azalea_bush | Name: Potted Azalea | Opaque: No
Model Name: potted_azure_bluet | Name: Potted Azure Bluet | Opaque: No
Model Name: potted_bamboo | Name: Potted Bamboo | Opaque: No
Model Name: potted_birch_sapling | Name: Potted Birch Sapling | Opaque: No
Model Name: potted_blue_orchid | Name: Potted Blue Orchid | Opaque: No
Model Name: potted_brown_mushroom | Name: Potted Brown Mushroom | Opaque: No
Model Name: potted_cactus | Name: Potted Cactus | Opaque: No
Model Name: potted_cherry_sapling | Name: Potted Cherry Sapling | Opaque: No
Model Name: potted_closed_eyeblossom | Name: Potted Closed Eyeblossom | Opaque: No
Model Name: potted_cornflower | Name: Potted Cornflower | Opaque: No
Model Name: potted_crimson_fungus | Name: Potted Crimson Fungus | Opaque: No
Model Name: potted_crimson_roots | Name: Potted Crimson Roots | Opaque: No
Model Name: potted_dandelion | Name: Potted Dandelion | Opaque: No
Model Name: potted_dark_oak_sapling | Name: Potted Dark Oak Sapling | Opaque: No
Model Name: potted_dead_bush | Name: Potted Dead Bush | Opaque: No
Model Name: potted_fern | Name: Potted Fern | Opaque: No
Model Name: potted_flowering_azalea_bush | Name: Potted Flowering Azalea | Opaque: No
Model Name: potted_jungle_sapling | Name: Potted Jungle Sapling | Opaque: No
Model Name: potted_lily_of_the_valley | Name: Potted Lily of the Valley | Opaque: No
Model Name: potted_mangrove_propagule | Name: Potted Mangrove Propagule | Opaque: No
Model Name: potted_oak_sapling | Name: Potted Oak Sapling | Opaque: No
Model Name: potted_open_eyeblossom | Name: Potted Open Eyeblossom | Opaque: No
Model Name: potted_orange_tulip | Name: Potted Orange Tulip | Opaque: No
Model Name: potted_oxeye_daisy | Name: Potted Oxeye Daisy | Opaque: No
Model Name: potted_pale_oak_sapling | Name: Potted Pale Oak Sapling | Opaque: No
Model Name: potted_pink_tulip | Name: Potted Pink Tulip | Opaque: No
Model Name: potted_poppy | Name: Potted Poppy | Opaque: No
Model Name: potted_red_mushroom | Name: Potted Red Mushroom | Opaque: No
Model Name: potted_red_tulip | Name: Potted Red Tulip | Opaque: No
Model Name: potted_spruce_sapling | Name: Potted Spruce Sapling | Opaque: No
Model Name: potted_torchflower | Name: Potted Torchflower | Opaque: No
Model Name: potted_warped_fungus | Name: Potted Warped Fungus | Opaque: No
Model Name: potted_warped_roots | Name: Potted Warped Roots | Opaque: No
Model Name: potted_white_tulip | Name: Potted White Tulip | Opaque: No
Model Name: potted_wither_rose | Name: Potted Wither Rose | Opaque: No
Model Name: powder_snow | Name: Powder Snow | Opaque: No
Model Name: powder_snow_cauldron | Name: Powder Snow Cauldron | Opaque: No
Model Name: powered_rail | Name: Powered Rail | Opaque: No
Model Name: prismarine | Name: Prismarine | Opaque: Yes
Model Name: prismarine_brick_slab | Name: Prismarine Brick Slab | Opaque: Yes
Model Name: prismarine_brick_stairs | Name: Prismarine Brick Stairs | Opaque: Yes
Model Name: prismarine_bricks | Name: Prismarine Bricks | Opaque: Yes
Model Name: prismarine_slab | Name: Prismarine Slab | Opaque: Yes
Model Name: prismarine_stairs | Name: Prismarine Stairs | Opaque: Yes
Model Name: prismarine_wall | Name: Prismarine Wall | Opaque: Yes
Model Name: pumpkin | Name: Pumpkin | Opaque: Yes
Model Name: pumpkin_stem | Name: Pumpkin Stem | Opaque: Yes
Model Name: purple_banner | Name: Purple Banner | Opaque: No
Model Name: purple_bed | Name: Purple Bed | Opaque: No
Model Name: purple_candle | Name: Purple Candle | Opaque: No
Model Name: purple_candle_cake | Name: Cake with Purple Candle | Opaque: Yes
Model Name: purple_carpet | Name: Purple Carpet | Opaque: Yes
Model Name: purple_concrete | Name: Purple Concrete | Opaque: Yes
Model Name: purple_concrete_powder | Name: Purple Concrete Powder | Opaque: Yes
Model Name: purple_glazed_terracotta | Name: Purple Glazed Terracotta | Opaque: Yes
Model Name: purple_shulker_box | Name: Purple Shulker Box | Opaque: No
Model Name: purple_stained_glass | Name: Purple Stained Glass | Opaque: No
Model Name: purple_stained_glass_pane | Name: Purple Stained Glass Pane | Opaque: No
Model Name: purple_terracotta | Name: Purple Terracotta | Opaque: Yes
Model Name: purple_wool | Name: Purple Wool | Opaque: Yes
Model Name: purpur_block | Name: Purpur Block | Opaque: Yes
